;GO:0014068;GO:0090336;GO:0032693;GO:1905664;GO:0038155;GO:1901224;GO:0042770;GO:1901741;GO:0046854;GO:0042531;GO:1902951;GO:1900015;GO:0045648;GO:0000187;GO:0032725;GO:0032729;GO:0071375;GO:0034105;GO:0010536;GO:0019886;GO:0050798;GO:2001184;GO:1905430;GO:0042307;GO:0036120;GO:0000902;GO:0050729;GO:0007266;GO:0098586;GO:0000077;GO:0030538;GO:0048010;GO:0048013;GO:0050966;GO:0031100;GO:2000249;GO:2001056;GO:0071803;GO:0051897;GO:0051017;GO:0035023;GO:0090314;GO:0033089;GO:0008284;GO:0043123;GO:0002062;GO:0045663;GO:0046632;GO:0038096;GO:0045944;GO:0001890;GO:0044336;GO:0002223;GO:0043524;GO:0048813;GO:0000165;GO:0051146;GO:0045672;GO:0019221;GO:0051142;GO:0006816;GO:0010759;GO:0014835;GO:0050852;GO:2000379;GO:0050853;GO:2001240;GO:0031295;GO:0022617;GO:0038083;GO:1904645;GO:0002230;GO:1900449;GO:0002741;GO:0050862;GO:0032819;GO:0043382;GO:0050900;GO:0035924;GO:1905050;GO:0021915;GO:0031281;GO:0060045;GO:0032495;GO:1904894;GO:0038111;GO:0006882;GO:0042177;GO:0048557;GO:0000018;GO:0007178;GO:0002286;GO:0006006;GO:0043547;GO:0010737;GO:0051607;GO:0032760;GO:0010976;GO:0006919;GO:0051209;GO:0031397;GO:2001244;GO:1900182;GO:1905232;GO:0038066;GO:0090023;GO:1901796;GO:0042100;GO:0043312;GO:0042104;GO:0097062;GO:0030217;GO:0010629;GO:0071560;GO:0042590;GO:0019395;GO:0070233;GO:0010628;GO:0031663;GO:0001915;GO:0001916;GO:0010469;GO:0018105;GO:0008360;GO:1901164;GO:0008361;GO:1904837;GO:0000122;GO:0045471;GO:0071353;GO:0032740;GO:0071479;GO:0033157;GO:0071356;GO:2000330;GO:0070935;GO:0060333;GO:0050829;GO:0006351;GO:0090400;GO:0033153;GO:0007162;GO:0006470;GO:1903997;GO:0007169;GO:0046326;GO:0007166;GO:1901216;GO:0030316;GO:0090090;GO:0032735;GO:0071222;GO:0071223;GO:0045087;GO:0042098;GO:0002827;GO:0032733;GO:0035722
GO:0051607;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.13333333333333333;0.0;0.0;0.3076923076923077;0.26666666666666666;0.0;0.26666666666666666;0.0;0.14285714285714285;0.0;0.0;0.0;0.8571428571428571;0.375;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.26666666666666666;0.3333333333333333;0.0;0.0;0.0;0.10526315789473684;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.1111111111111111;0.0;0.23529411764705882;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.3076923076923077;0.14285714285714285;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2857142857142857;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.13333333333333333;0.10526315789473684;0.0;0.0;0.2857142857142857;0.35294117647058826;0.0;0.0;0.2857142857142857;0.0;0.14285714285714285;0.3076923076923077;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.15384615384615385;0.14285714285714285;0.0;0.14285714285714285;0.0;0.14285714285714285;0.0;0.0;0.0;0.8;0.0;0.46153846153846156;0.21052631578947367;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5714285714285714;0.5714285714285714;0.6666666666666666;0.2857142857142857;0.0;0.0;0.0
GO:0032760;0.47058823529411764;0.5;0.6666666666666666;0.3333333333333333;0.125;0.47058823529411764;0.13333333333333333;0.4444444444444444;0.0;0.4;0.23529411764705882;0.625;0.5882352941176471;0.36363636363636365;0.8;0.8;0.0;0.7142857142857143;0.4;0.0;0.0;0.631578947368421;0.0;0.4444444444444444;0.0;0.0;0.5;0.11764705882352941;0.0;0.35294117647058826;0.0;0.11764705882352941;0.11764705882352941;0.0;0.0;0.35294117647058826;0.4;0.47058823529411764;0.47058823529411764;0.0;0.3333333333333333;0.42105263157894735;0.5263157894736842;0.5714285714285714;0.47058823529411764;0.0;0.5333333333333333;0.0;0.10526315789473684;0.4;0.0;0.3333333333333333;0.1;0.35294117647058826;0.0;0.1111111111111111;0.0;0.5555555555555556;0.13333333333333333;0.4;0.0;0.42105263157894735;0.0;0.10526315789473684;0.5333333333333333;0.10526315789473684;0.3157894736842105;0.4444444444444444;0.0;0.0;0.0;0.35294117647058826;0.4;0.631578947368421;0.47058823529411764;0.4444444444444444;0.42105263157894735;0.0;0.0;0.42105263157894735;0.0;0.2857142857142857;0.42105263157894735;0.0;0.47058823529411764;0.125;0.21052631578947367;0.375;0.0;0.375;0.125;0.0;0.0;0.26666666666666666;0.13333333333333333;0.0;1.0;0.5555555555555556;0.36363636363636365;0.08695652173913043;0.3157894736842105;0.4444444444444444;0.5;0.0;0.1;0.4;0.375;0.0;0.0;0.42105263157894735;0.0;0.0;0.4;0.0;0.0;0.0;0.3157894736842105;0.5333333333333333;0.13333333333333333;0.3333333333333333;0.4444444444444444;0.26666666666666666;0.0;0.26666666666666666;0.47058823529411764;0.2857142857142857;0.0;0.3;0.0;0.0;0.8;0.0;0.375;0.0;0.34782608695652173;0.4;0.125;0.0;0.0;0.0;0.0;0.42857142857142855;0.0;0.38095238095238093;0.125;0.47058823529411764;0.14285714285714285;0.5333333333333333;0.0;0.35294117647058826;0.8;0.0;0.0;0.0;0.0;0.47058823529411764;0.8;0.125
GO:0010976;0.5263157894736842;0.6666666666666666;0.11764705882352941;0.1;0.1111111111111111;0.5263157894736842;0.11764705882352941;0.6;0.0;0.45454545454545453;0.10526315789473684;0.1111111111111111;0.10526315789473684;0.08333333333333333;0.5882352941176471;0.5882352941176471;0.0;0.625;0.45454545454545453;0.0;0.0;0.47619047619047616;0.0;0.4;0.0;0.0;0.1111111111111111;0.10526315789473684;0.0;0.10526315789473684;0.0;0.10526315789473684;0.10526315789473684;0.0;0.0;0.10526315789473684;0.45454545454545453;0.631578947368421;0.5263157894736842;0.0;0.1;0.38095238095238093;0.47619047619047616;0.625;0.5263157894736842;0.0;0.5882352941176471;0.0;0.09523809523809523;0.36363636363636365;0.0;0.1;0.09090909090909091;0.10526315789473684;0.0;0.1;0.0;0.5;0.11764705882352941;0.45454545454545453;0.0;0.09523809523809523;0.0;0.09523809523809523;0.5882352941176471;0.09523809523809523;0.09523809523809523;0.1;0.0;0.0;0.0;0.10526315789473684;0.11764705882352941;0.47619047619047616;0.5263157894736842;0.5;0.38095238095238093;0.0;0.0;0.47619047619047616;0.0;0.125;0.47619047619047616;0.0;0.5263157894736842;0.1111111111111111;0.09523809523809523;0.1111111111111111;0.0;0.1111111111111111;0.1111111111111111;0.0;0.0;0.11764705882352941;0.11764705882352941;0.0;0.5555555555555556;1.0;0.4166666666666667;0.08;0.38095238095238093;0.5;0.4444444444444444;0.0;0.09090909090909091;0.36363636363636365;0.1111111111111111;0.0;0.0;0.47619047619047616;0.0;0.0;0.11764705882352941;0.0;0.0;0.0;0.38095238095238093;0.47058823529411764;0.11764705882352941;0.1;0.4;0.11764705882352941;0.0;0.11764705882352941;0.10526315789473684;0.125;0.0;0.09090909090909091;0.0;0.0;0.5882352941176471;0.0;0.1111111111111111;0.0;0.4;0.09090909090909091;0.1111111111111111;0.0;0.0;0.0;0.0;0.125;0.0;0.08695652173913043;0.1111111111111111;0.42105263157894735;0.125;0.5882352941176471;0.0;0.10526315789473684;0.5882352941176471;0.0;0.0;0.0;0.0;0.42105263157894735;0.5882352941176471;0.1111111111111111
GO:0006919;0.43478260869565216;0.45454545454545453;0.2857142857142857;0.3333333333333333;0.09090909090909091;0.43478260869565216;0.38095238095238093;0.4166666666666667;0.0;0.6153846153846154;0.17391304347826086;0.2727272727272727;0.43478260869565216;0.35714285714285715;0.38095238095238093;0.38095238095238093;0.0;0.4;0.38461538461538464;0.0;0.0;0.4;0.0;0.3333333333333333;0.0;0.0;0.36363636363636365;0.08695652173913043;0.0;0.34782608695652173;0.0;0.08695652173913043;0.08695652173913043;0.0;0.0;0.34782608695652173;0.9230769230769231;0.43478260869565216;0.43478260869565216;0.0;0.3333333333333333;0.32;0.4;0.5;0.43478260869565216;0.0;0.47619047619047616;0.0;0.08;0.3076923076923077;0.0;0.3333333333333333;0.07692307692307693;0.6086956521739131;0.0;0.3333333333333333;0.0;0.4166666666666667;0.38095238095238093;0.38461538461538464;0.0;0.32;0.0;0.08;0.47619047619047616;0.08;0.56;0.4166666666666667;0.0;0.0;0.0;0.2608695652173913;0.38095238095238093;0.4;0.43478260869565216;0.4166666666666667;0.32;0.0;0.0;0.8;0.0;0.5;0.4;0.0;0.43478260869565216;0.09090909090909091;0.16;0.5454545454545454;0.0;0.45454545454545453;0.09090909090909091;0.0;0.0;0.5714285714285714;0.38095238095238093;0.0;0.36363636363636365;0.4166666666666667;1.0;0.27586206896551724;0.56;0.6666666666666666;0.36363636363636365;0.0;0.07692307692307693;0.3076923076923077;0.36363636363636365;0.0;0.0;0.4;0.0;0.0;0.47619047619047616;0.0;0.0;0.0;0.56;0.38095238095238093;0.38095238095238093;0.25;0.3333333333333333;0.38095238095238093;0.0;0.38095238095238093;0.2608695652173913;0.2;0.0;0.3076923076923077;0.0;0.0;0.38095238095238093;0.0;0.2727272727272727;0.0;0.3448275862068966;0.3076923076923077;0.36363636363636365;0.0;0.0;0.0;0.0;0.4;0.0;0.5925925925925926;0.36363636363636365;0.34782608695652173;0.4;0.5714285714285714;0.0;0.34782608695652173;0.38095238095238093;0.0;0.0;0.0;0.0;0.34782608695652173;0.38095238095238093;0.36363636363636365
GO:0051209;0.08333333333333333;0.34782608695652173;0.36363636363636365;0.08;0.08695652173913043;0.08333333333333333;0.09090909090909091;0.08;0.08333333333333333;0.2962962962962963;0.08333333333333333;0.08695652173913043;0.08333333333333333;0.06896551724137931;0.09090909090909091;0.09090909090909091;0.08695652173913043;0.09523809523809523;0.2962962962962963;0.0;0.08695652173913043;0.3076923076923077;0.08695652173913043;0.08;0.09090909090909091;0.1;0.08695652173913043;0.08333333333333333;0.0;0.08333333333333333;0.0;0.08333333333333333;0.08333333333333333;0.0;0.0;0.3333333333333333;0.07407407407407407;0.08333333333333333;0.08333333333333333;0.09090909090909091;0.08;0.07692307692307693;0.3076923076923077;0.38095238095238093;0.08333333333333333;0.1;0.36363636363636365;0.08695652173913043;0.07692307692307693;0.2962962962962963;0.0;0.08;0.07407407407407407;0.4166666666666667;0.08333333333333333;0.08;0.09523809523809523;0.32;0.09090909090909091;0.2962962962962963;0.75;0.07692307692307693;0.09523809523809523;0.07692307692307693;0.36363636363636365;0.07692307692307693;0.38461538461538464;0.08;0.09523809523809523;0.07692307692307693;0.0;0.08333333333333333;0.09090909090909091;0.3076923076923077;0.08333333333333333;0.32;0.07692307692307693;0.09523809523809523;0.09090909090909091;0.07692307692307693;0.0;0.09523809523809523;0.3076923076923077;0.0;0.08333333333333333;0.08695652173913043;0.6923076923076923;0.34782608695652173;0.0;0.08695652173913043;0.08695652173913043;0.09090909090909091;0.0;0.09090909090909091;0.09090909090909091;0.0;0.08695652173913043;0.08;0.27586206896551724;1.0;0.38461538461538464;0.32;0.08695652173913043;0.08695652173913043;0.07407407407407407;0.07407407407407407;0.34782608695652173;0.09090909090909091;0.08;0.3076923076923077;0.08695652173913043;0.09090909090909091;0.36363636363636365;0.09090909090909091;0.0;0.08333333333333333;0.38461538461538464;0.09090909090909091;0.09090909090909091;0.32;0.08;0.09090909090909091;0.08;0.09090909090909091;0.3333333333333333;0.09523809523809523;0.09523809523809523;0.37037037037037035;0.0;0.09090909090909091;0.09090909090909091;0.09090909090909091;0.34782608695652173;0.09090909090909091;0.26666666666666666;0.07407407407407407;0.08695652173913043;0.0;0.08;0.09523809523809523;0.07407407407407407;0.47619047619047616;0.08695652173913043;0.07142857142857142;0.08695652173913043;0.08333333333333333;0.09523809523809523;0.36363636363636365;0.09090909090909091;0.4166666666666667;0.09090909090909091;0.09090909090909091;0.09090909090909091;0.0;0.09090909090909091;0.08333333333333333;0.09090909090909091;0.08695652173913043
GO:0031397;0.4;0.42105263157894735;0.4444444444444444;0.38095238095238093;0.10526315789473684;0.4;0.4444444444444444;0.38095238095238093;0.0;0.6956521739130435;0.5;0.3157894736842105;0.4;0.64;0.3333333333333333;0.3333333333333333;0.0;0.35294117647058826;0.6956521739130435;0.0;0.0;0.36363636363636365;0.0;0.2857142857142857;0.0;0.0;0.3157894736842105;0.1;0.0;0.5;0.0;0.1;0.1;0.0;0.0;0.4;0.6086956521739131;0.4;0.4;0.0;0.38095238095238093;0.2727272727272727;0.36363636363636365;0.47058823529411764;0.4;0.0;0.4444444444444444;0.0;0.09090909090909091;0.43478260869565216;0.0;0.38095238095238093;0.08695652173913043;0.5;0.0;0.38095238095238093;0.0;0.38095238095238093;0.4444444444444444;0.34782608695652173;0.0;0.2727272727272727;0.0;0.09090909090909091;0.5555555555555556;0.09090909090909091;0.45454545454545453;0.38095238095238093;0.0;0.0;0.0;0.3;0.4444444444444444;0.36363636363636365;0.4;0.38095238095238093;0.2727272727272727;0.0;0.0;0.6363636363636364;0.0;0.23529411764705882;0.36363636363636365;0.0;0.4;0.10526315789473684;0.18181818181818182;0.7368421052631579;0.0;0.5263157894736842;0.10526315789473684;0.0;0.0;0.2222222222222222;0.4444444444444444;0.0;0.3157894736842105;0.38095238095238093;0.56;0.38461538461538464;1.0;0.38095238095238093;0.3157894736842105;0.0;0.08695652173913043;0.2608695652173913;0.42105263157894735;0.0;0.0;0.36363636363636365;0.0;0.0;0.6666666666666666;0.0;0.0;0.0;0.45454545454545453;0.5555555555555556;0.4444444444444444;0.38095238095238093;0.2857142857142857;0.4444444444444444;0.0;0.4444444444444444;0.4;0.23529411764705882;0.0;0.5217391304347826;0.0;0.0;0.3333333333333333;0.0;0.3157894736842105;0.0;0.3076923076923077;0.5217391304347826;0.42105263157894735;0.0;0.0;0.0;0.0;0.5882352941176471;0.0;0.6666666666666666;0.42105263157894735;0.3;0.47058823529411764;0.4444444444444444;0.0;0.5;0.3333333333333333;0.0;0.0;0.0;0.0;0.3;0.3333333333333333;0.42105263157894735
GO:2001244;0.8421052631578947;0.5555555555555556;0.35294117647058826;0.4;0.1111111111111111;0.8421052631578947;0.11764705882352941;0.4;0.0;0.7272727272727273;0.21052631578947367;0.4444444444444444;0.5263157894736842;0.6666666666666666;0.47058823529411764;0.47058823529411764;0.0;0.5;0.7272727272727273;0.0;0.0;0.38095238095238093;0.0;0.4;0.0;0.0;0.5555555555555556;0.10526315789473684;0.0;0.42105263157894735;0.0;0.10526315789473684;0.10526315789473684;0.0;0.0;0.42105263157894735;0.45454545454545453;0.42105263157894735;0.8421052631578947;0.0;0.7;0.38095238095238093;0.47619047619047616;0.625;0.8421052631578947;0.0;0.5882352941176471;0.0;0.09523809523809523;0.36363636363636365;0.0;0.4;0.09090909090909091;0.7368421052631579;0.0;0.4;0.0;0.5;0.11764705882352941;0.36363636363636365;0.0;0.47619047619047616;0.0;0.09523809523809523;0.5882352941176471;0.09523809523809523;0.7619047619047619;0.4;0.0;0.0;0.0;0.42105263157894735;0.7058823529411765;0.47619047619047616;0.7368421052631579;0.4;0.47619047619047616;0.0;0.0;0.47619047619047616;0.0;0.25;0.47619047619047616;0.0;0.8421052631578947;0.1111111111111111;0.19047619047619047;0.3333333333333333;0.0;0.4444444444444444;0.1111111111111111;0.0;0.0;0.23529411764705882;0.11764705882352941;0.0;0.4444444444444444;0.5;0.6666666666666666;0.32;0.38095238095238093;1.0;0.4444444444444444;0.0;0.09090909090909091;0.36363636363636365;0.7777777777777778;0.0;0.0;0.38095238095238093;0.0;0.0;0.35294117647058826;0.0;0.0;0.0;0.6666666666666666;0.47058823529411764;0.47058823529411764;0.3;0.4;0.7058823529411765;0.0;0.47058823529411764;0.3157894736842105;0.25;0.0;0.36363636363636365;0.0;0.0;0.47058823529411764;0.0;0.3333333333333333;0.0;0.4;0.36363636363636365;0.1111111111111111;0.0;0.0;0.0;0.0;0.5;0.0;0.43478260869565216;0.1111111111111111;0.42105263157894735;0.5;0.7058823529411765;0.0;0.631578947368421;0.47058823529411764;0.0;0.0;0.0;0.0;0.5263157894736842;0.47058823529411764;0.1111111111111111
GO:1900182;0.47058823529411764;0.5;0.4;0.5555555555555556;0.125;0.47058823529411764;0.13333333333333333;0.4444444444444444;0.0;0.4;0.23529411764705882;0.375;0.47058823529411764;0.36363636363636365;0.5333333333333333;0.5333333333333333;0.0;0.5714285714285714;0.4;0.0;0.0;0.42105263157894735;0.0;0.8888888888888888;0.0;0.0;0.5;0.11764705882352941;0.0;0.35294117647058826;0.0;0.11764705882352941;0.11764705882352941;0.0;0.0;0.35294117647058826;0.4;0.47058823529411764;0.47058823529411764;0.0;0.3333333333333333;0.7368421052631579;0.42105263157894735;0.5714285714285714;0.47058823529411764;0.0;0.5333333333333333;0.0;0.10526315789473684;0.4;0.0;0.3333333333333333;0.1;0.35294117647058826;0.0;0.1111111111111111;0.0;0.4444444444444444;0.13333333333333333;0.4;0.0;0.42105263157894735;0.0;0.10526315789473684;0.5333333333333333;0.10526315789473684;0.3157894736842105;0.4444444444444444;0.0;0.0;0.0;0.35294117647058826;0.4;0.42105263157894735;0.47058823529411764;0.4444444444444444;0.42105263157894735;0.0;0.0;0.42105263157894735;0.0;0.2857142857142857;0.42105263157894735;0.0;0.47058823529411764;0.125;0.21052631578947367;0.375;0.0;0.375;0.125;0.0;0.0;0.26666666666666666;0.13333333333333333;0.0;0.5;0.4444444444444444;0.36363636363636365;0.08695652173913043;0.3157894736842105;0.4444444444444444;1.0;0.0;0.1;0.4;0.375;0.0;0.0;0.42105263157894735;0.0;0.0;0.4;0.0;0.0;0.0;0.3157894736842105;0.5333333333333333;0.13333333333333333;0.3333333333333333;0.4444444444444444;0.26666666666666666;0.0;0.26666666666666666;0.35294117647058826;0.2857142857142857;0.0;0.3;0.0;0.0;0.5333333333333333;0.0;0.75;0.0;0.34782608695652173;0.4;0.125;0.0;0.0;0.0;0.0;0.42857142857142855;0.0;0.38095238095238093;0.125;0.47058823529411764;0.14285714285714285;0.5333333333333333;0.0;0.35294117647058826;0.5333333333333333;0.0;0.0;0.0;0.0;0.47058823529411764;0.5333333333333333;0.125
GO:1905232;0.0;0.0;0.0;0.0;0.25;0.0;0.4;0.0;0.23529411764705882;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.625;0.0;0.0;0.0;0.25;0.0;0.875;0.0;0.5333333333333333;0.15384615384615385;0.0;0.23529411764705882;0.13333333333333333;0.35294117647058826;0.0;0.23529411764705882;0.23529411764705882;0.13333333333333333;0.0;0.0;0.0;0.0;0.0;0.26666666666666666;0.0;0.0;0.0;0.0;0.0;0.15384615384615385;0.0;0.125;0.21052631578947367;0.0;0.0;0.2222222222222222;0.2;0.0;0.23529411764705882;0.2222222222222222;0.14285714285714285;0.0;0.26666666666666666;0.0;0.0;0.0;0.14285714285714285;0.21052631578947367;0.0;0.21052631578947367;0.0;0.0;0.2857142857142857;0.21052631578947367;0.5333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.6666666666666666;0.0;0.0;0.0;0.0;0.5333333333333333;0.0;0.25;0.21052631578947367;0.0;0.0;0.0;0.25;0.13333333333333333;0.0;0.0;0.26666666666666666;0.13333333333333333;0.0;0.0;0.0;0.08695652173913043;0.0;0.0;0.0;1.0;0.3;0.0;0.0;0.26666666666666666;0.1111111111111111;0.0;0.25;0.13333333333333333;0.0;0.5333333333333333;0.0;0.11764705882352941;0.0;0.0;0.26666666666666666;0.0;0.0;0.0;0.2222222222222222;0.0;0.0;0.2857142857142857;0.14285714285714285;0.0;0.5714285714285714;0.6666666666666666;0.0;0.4;0.0;0.6666666666666666;0.0;0.0;0.25;0.25;0.1111111111111111;0.42857142857142855;0.2;0.0;0.25;0.0;0.25;0.0;0.2857142857142857;0.0;0.13333333333333333;0.0;0.0;0.6666666666666666;0.6666666666666666;0.3076923076923077;0.26666666666666666;0.0;0.0;0.25
GO:0038066;0.09523809523809523;0.1;0.10526315789473684;0.09090909090909091;0.1;0.09523809523809523;0.10526315789473684;0.09090909090909091;0.19047619047619047;0.08333333333333333;0.09523809523809523;0.1;0.09523809523809523;0.07692307692307693;0.10526315789473684;0.10526315789473684;0.3;0.1111111111111111;0.08333333333333333;0.0;0.1;0.08695652173913043;0.3;0.09090909090909091;0.21052631578947367;0.11764705882352941;0.1;0.09523809523809523;0.10526315789473684;0.2857142857142857;0.0;0.09523809523809523;0.09523809523809523;0.10526315789473684;0.0;0.09523809523809523;0.08333333333333333;0.09523809523809523;0.09523809523809523;0.10526315789473684;0.09090909090909091;0.08695652173913043;0.08695652173913043;0.1111111111111111;0.09523809523809523;0.11764705882352941;0.10526315789473684;0.1;0.08695652173913043;0.08333333333333333;0.0;0.09090909090909091;0.08333333333333333;0.09523809523809523;0.09523809523809523;0.9090909090909091;0.1111111111111111;0.09090909090909091;0.10526315789473684;0.08333333333333333;0.0;0.08695652173913043;0.1111111111111111;0.08695652173913043;0.10526315789473684;0.08695652173913043;0.08695652173913043;0.09090909090909091;0.2222222222222222;0.6956521739130435;0.21052631578947367;0.09523809523809523;0.10526315789473684;0.08695652173913043;0.09523809523809523;0.09090909090909091;0.08695652173913043;0.1111111111111111;0.3157894736842105;0.08695652173913043;0.0;0.1111111111111111;0.08695652173913043;0.21052631578947367;0.09523809523809523;0.1;0.17391304347826086;0.1;0.0;0.1;0.1;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.1;0.09090909090909091;0.07692307692307693;0.07407407407407407;0.08695652173913043;0.09090909090909091;0.1;0.3;1.0;0.08333333333333333;0.1;0.10526315789473684;0.09090909090909091;0.08695652173913043;0.1;0.10526315789473684;0.10526315789473684;0.21052631578947367;0.0;0.09523809523809523;0.08695652173913043;0.10526315789473684;0.10526315789473684;0.09090909090909091;0.09090909090909091;0.10526315789473684;0.7272727272727273;0.10526315789473684;0.09523809523809523;0.2222222222222222;0.1111111111111111;0.08333333333333333;0.2222222222222222;0.3157894736842105;0.10526315789473684;0.21052631578947367;0.1;0.3157894736842105;0.07407407407407407;0.08333333333333333;0.1;0.2;0.09090909090909091;0.3333333333333333;0.08333333333333333;0.1111111111111111;0.7;0.08;0.1;0.09523809523809523;0.1111111111111111;0.10526315789473684;0.10526315789473684;0.09523809523809523;0.10526315789473684;0.21052631578947367;0.21052631578947367;0.23529411764705882;0.10526315789473684;0.09523809523809523;0.10526315789473684;0.1
GO:0090023;0.38095238095238093;0.4;0.3157894736842105;0.2727272727272727;0.1;0.38095238095238093;0.10526315789473684;0.36363636363636365;0.0;0.3333333333333333;0.19047619047619047;0.5;0.47619047619047616;0.38461538461538464;0.42105263157894735;0.42105263157894735;0.0;0.4444444444444444;0.3333333333333333;0.0;0.0;0.34782608695652173;0.0;0.36363636363636365;0.0;0.0;0.6;0.09523809523809523;0.0;0.2857142857142857;0.0;0.09523809523809523;0.09523809523809523;0.0;0.0;0.2857142857142857;0.3333333333333333;0.38095238095238093;0.38095238095238093;0.0;0.36363636363636365;0.34782608695652173;0.43478260869565216;0.4444444444444444;0.38095238095238093;0.0;0.42105263157894735;0.0;0.08695652173913043;0.3333333333333333;0.0;0.2727272727272727;0.08333333333333333;0.2857142857142857;0.0;0.09090909090909091;0.0;0.45454545454545453;0.10526315789473684;0.4166666666666667;0.0;0.8695652173913043;0.0;0.08695652173913043;0.42105263157894735;0.08695652173913043;0.34782608695652173;0.45454545454545453;0.0;0.0;0.0;0.38095238095238093;0.42105263157894735;0.43478260869565216;0.47619047619047616;0.45454545454545453;0.43478260869565216;0.0;0.0;0.34782608695652173;0.0;0.2222222222222222;0.34782608695652173;0.0;0.38095238095238093;0.1;0.17391304347826086;0.3;0.0;0.3;0.1;0.0;0.0;0.21052631578947367;0.10526315789473684;0.0;0.4;0.36363636363636365;0.3076923076923077;0.07407407407407407;0.2608695652173913;0.36363636363636365;0.4;0.0;0.08333333333333333;1.0;0.4;0.0;0.0;0.43478260869565216;0.0;0.0;0.3157894736842105;0.0;0.0;0.0;0.2608695652173913;0.42105263157894735;0.10526315789473684;0.2727272727272727;0.36363636363636365;0.42105263157894735;0.0;0.21052631578947367;0.6666666666666666;0.2222222222222222;0.0;0.25;0.0;0.0;0.42105263157894735;0.0;0.3;0.0;0.2962962962962963;0.3333333333333333;0.1;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.32;0.1;0.38095238095238093;0.1111111111111111;0.42105263157894735;0.0;0.38095238095238093;0.42105263157894735;0.0;0.0;0.0;0.0;0.47619047619047616;0.42105263157894735;0.1
GO:1901796;0.8235294117647058;0.5;0.4;0.4444444444444444;0.125;0.8235294117647058;0.13333333333333333;0.4444444444444444;0.0;0.7;0.23529411764705882;0.5;0.23529411764705882;0.6363636363636364;0.4;0.4;0.0;0.42857142857142855;0.7;0.0;0.0;0.42105263157894735;0.0;0.3333333333333333;0.0;0.0;0.5;0.11764705882352941;0.0;0.47058823529411764;0.0;0.11764705882352941;0.11764705882352941;0.0;0.0;0.47058823529411764;0.4;0.47058823529411764;0.8235294117647058;0.0;0.7777777777777778;0.3157894736842105;0.42105263157894735;0.5714285714285714;0.8235294117647058;0.0;0.5333333333333333;0.0;0.10526315789473684;0.4;0.0;0.4444444444444444;0.1;0.47058823529411764;0.0;0.4444444444444444;0.0;0.4444444444444444;0.13333333333333333;0.4;0.0;0.42105263157894735;0.0;0.10526315789473684;0.5333333333333333;0.10526315789473684;0.631578947368421;0.1111111111111111;0.0;0.0;0.0;0.47058823529411764;0.8;0.42105263157894735;0.7058823529411765;0.4444444444444444;0.42105263157894735;0.0;0.0;0.42105263157894735;0.0;0.2857142857142857;0.42105263157894735;0.0;0.8235294117647058;0.125;0.21052631578947367;0.375;0.0;0.5;0.125;0.0;0.0;0.26666666666666666;0.13333333333333333;0.0;0.375;0.1111111111111111;0.36363636363636365;0.34782608695652173;0.42105263157894735;0.7777777777777778;0.375;0.0;0.1;0.4;1.0;0.0;0.0;0.42105263157894735;0.0;0.0;0.4;0.0;0.0;0.0;0.42105263157894735;0.4;0.13333333333333333;0.3333333333333333;0.3333333333333333;0.8;0.0;0.26666666666666666;0.35294117647058826;0.2857142857142857;0.0;0.4;0.0;0.0;0.4;0.0;0.375;0.0;0.34782608695652173;0.2;0.125;0.0;0.0;0.0;0.0;0.5714285714285714;0.0;0.19047619047619047;0.125;0.35294117647058826;0.5714285714285714;0.5333333333333333;0.0;0.7058823529411765;0.4;0.0;0.0;0.0;0.0;0.47058823529411764;0.4;0.125
